address,origin,subsystem,disposition,confidence,evidence_id
0x00453683,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0045371B,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0045373D,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453762,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004537DC,library,CRT,exclude,high,crt-winmain-startup-2026-09-12
0x004539B1,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004539CB,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453AA1,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453AEA,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453B3F,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453B6C,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453C03,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453C0C,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453C52,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453C9A,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453CC5,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00453FDD,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454094,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0045419A,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0045454A,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004548BE,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454BBC,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454BF7,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454CF6,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454D11,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454E2A,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454E5D,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454E81,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00454ED7,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455693,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004556E0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455737,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455752,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004557FC,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004558CC,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455990,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004559B4,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455A90,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455ADE,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00455B10,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
